analysis,BMD_mg/cm2,BMDL,BMDH,ID_BMD,ID,author_year,Substance,type,media,pp_density,pp_diameter,agg_diameter,agg_effective_density,simulation_time,organism,cell_type,ssa_m2/g,Mass_per_Area_end_mg/cm2,exposure_concentration_air_five_d_mg/m3,exposure_concentration_air_life_mg/m3,variable,SA_BMD_cm2/cm2,ssa_BMDL,air_BMD_mg/m3
In_vitro_144_dep_dose_release_tnfa.txt,0.001445,0.000127,0.00477,144,659,Waters 2009,Amorphous SiO2,,DMEM,2.2,150,150,2.2,24,mouse,RAW264.7,18,0.011546856,3861.824752,4.496120605,release_tnfa,0.2601,0.02286,483.2775923
In_vitro_145_dep_dose_release_tnfa.txt,0.001806,0.000311,0.00523,145,665,Waters 2009,Amorphous SiO2,,DMEM,2.2,300,318.9,2.135798545,24,mouse,RAW264.7,9,0.046363675,21869.65803,25.50001871,release_tnfa,0.16254,0.02799,851.8867929
In_vitro_148_dep_dose_release_tnfa.txt,0.001145,0.00098,0.00125,148,677,Liu 2010,TiO2,anatase,DMEM,3.78,5,348,1.06105152,24,rat,rat alveolar macrophage,210,0.001384065,4805.781241,5.60706602,release_tnfa,2.4045,2.058,3975.694437
In_vitro_152_dep_dose_release_tnfa.txt,1.18E-06,,,152,702,Hu 2019,TiO2,80 anatase 20 rutile,RPMI,4.23,35,485,1.307345193,48,mouse,RAW264.7,45,0.0003,45.24886878,0.052800002,release_tnfa,0.000531,,0.177978884
In_vitro_153_dep_dose_release_tnfa.txt,1.00E-06,,,153,704,Hu 2019,TiO2,80 anatase 20 rutile,RPMI,4.23,21,350,1.261000995,48,mouse,RAW264.7,50,2.97E-06,0.481361426,0.000561662,release_tnfa,0.0005,,0.162074554
In_vitro_154_dep_dose_release_tnfa.txt,3.17E-05,0,0.0104,154,707,Schoenenberger 2016,TiO2,rutile,RPMI+10%FBS,4.17,1000,2213,2.556184089,24,human,THP1 macrophages,1.43,0.000587088,135.5861431,0.157993105,release_tnfa,0.00045331,0,7.321016162
In_vitro_155_dep_dose_release_tnfa.txt,1.00E-06,0,2.73E-06,155,713,Schoenenberger 2016,TiO2,rutile,RPMI+10%FBS,4.17,100,4519,1.11275145,24,human,THP1 macrophages,14.4,0.000756177,184.8843521,0.215583925,release_tnfa,0.000144,0,0.244498778
In_vitro_156_dep_dose_release_tnfa.txt,1.41E-05,6.50E-06,2.49E-05,156,715,Li 2021,Amorphous SiO2,,RPMI,2.2,35,166.8,1.297823011,24,human,THP1 macrophages,77,0.000581176,87.79093644,0.102309703,release_tnfa,0.010857,0.005005,2.129909363
In_vitro_160_dep_dose_release_tnfa.txt,0.003208,0.0025,0.00334,160,733,Breznan 2017,Amorphous SiO2,,RPMI+5%FBS,2.2,20,576,1.057994016,24,human,THP1 macrophages,613,0.004461996,741.1953516,0.863612077,release_tnfa,19.66504,15.325,532.8903674
In_vitro_161_dep_dose_release_tnfa.txt,1.00E-06,,,161,735,Breznan 2017,Amorphous SiO2,,RPMI+5%FBS,2.2,16,385,1.068233659,24,human,THP1 macrophages,302,0.002262994,436.0296718,0.508595694,release_tnfa,0.00302,,0.192678227
In_vitro_162_dep_dose_release_tnfa.txt,0.02862,0.0282,0.029,162,738,Breznan 2017,Crystalline SiO2,,RPMI+5%FBS,2.6,5217,5217,2.6,24,human,THP1 macrophages,0.44,0.014999992,37220.82381,43.34180521,release_tnfa,0.125928,0.12408,71017.36971
In_vitro_164_dep_dose_release_tnfa.txt,0.001746,0.00173,0.00176,164,741,Breznan 2017,Amorphous SiO2,,DMEM+5%FBS,2.2,30,805,1.057683789,24,mouse,J774A.1 macrophages,840,0.001853475,277.4663174,0.323408702,release_tnfa,14.6664,14.532,261.3772455
In_vitro_165_dep_dose_release_tnfa.txt,0.001616,0.00161,0.00163,165,745,Breznan 2017,Amorphous SiO2,,DMEM+5%FBS,2.2,20,576,1.053836354,24,mouse,J774A.1 macrophages,613,0.001251309,207.8586382,0.242188823,release_tnfa,9.90608,9.8693,268.4385386
